size,test-no-warm-up,mkl-no-warm-up,test-warm-up,mkl-warm-up
200,25.19,0.3,24.5,27.4
400,71.39,2.12,76.74,163.28
600,72.51,6.94,86.73,208.53
800,86.59,13.61,90.19,246.68
1000,97.76,25.19,102.4,354.98
1500,109.83,62.04,93.53,417.05
2000,103.82,104.49,103.76,351.05
2500,72.77,141.77,119.88,368.43
3000,62.22,202.31,63.39,383.82
4000,55.46,277.49,67.03,408
5000,42.57,321.4,48.75,414.7
10000,20.51,399.91,21.44,417.72
